timestamp,mode,matrix_name,procs,run_id,time_avg,comm_time,comp_time,gflops,status
20260106_162929,strong,2_kkt.mtx,16,9,1.335095e-02,1.107214e-02,3.421488e-03,1.2179,OK
20260106_162929,strong,2_kkt.mtx,16,10,1.257877e-02,1.033904e-02,3.303542e-03,1.2927,OK
20260106_162929,strong,2_kkt.mtx,32,1,1.612757e-02,1.388139e-02,3.523912e-03,1.0083,OK
20260106_162929,strong,2_kkt.mtx,32,2,1.587248e-02,1.364212e-02,3.468814e-03,1.0245,OK
20260106_162929,strong,2_kkt.mtx,32,3,1.560518e-02,1.325800e-02,3.540459e-03,1.0420,OK
20260106_162929,strong,2_kkt.mtx,32,4,1.545747e-02,1.315752e-02,3.236165e-03,1.0520,OK
20260106_162929,strong,2_kkt.mtx,32,5,1.666245e-02,1.404624e-02,3.697333e-03,0.9759,OK
20260106_162929,strong,2_kkt.mtx,32,6,1.695032e-02,1.478347e-02,3.485413e-03,0.9593,OK
20260106_162929,strong,2_kkt.mtx,32,7,1.428303e-02,1.185205e-02,3.157611e-03,1.1385,OK
20260106_162929,strong,2_kkt.mtx,32,8,1.379090e-02,1.151975e-02,3.323150e-03,1.1791,OK
20260106_162929,strong,2_kkt.mtx,32,9,1.655860e-02,1.445695e-02,3.683543e-03,0.9820,OK
20260106_162929,strong,2_kkt.mtx,32,10,1.615684e-02,1.383219e-02,3.434968e-03,1.0064,OK
20260106_162929,strong,2_kkt.mtx,64,1,4.239801e-02,4.138775e-02,6.845288e-03,0.3835,OK
20260106_162929,strong,2_kkt.mtx,64,2,4.438201e-02,4.322313e-02,6.957908e-03,0.3664,OK
20260106_162929,strong,2_kkt.mtx,64,3,4.761533e-02,4.664518e-02,6.176772e-03,0.3415,OK
20260106_162929,strong,2_kkt.mtx,64,4,4.463743e-02,4.357894e-02,6.561546e-03,0.3643,OK
20260106_162929,strong,2_kkt.mtx,64,5,4.356744e-02,4.250963e-02,6.326847e-03,0.3732,OK
20260106_162929,strong,2_kkt.mtx,64,6,4.209735e-02,4.108538e-02,6.127291e-03,0.3863,OK
20260106_162929,strong,2_kkt.mtx,64,7,4.288293e-02,4.178384e-02,6.338224e-03,0.3792,OK
20260106_162929,strong,2_kkt.mtx,64,8,4.068464e-02,3.972019e-02,6.519537e-03,0.3997,OK
20260106_162929,strong,2_kkt.mtx,64,9,4.148914e-02,4.046053e-02,6.106133e-03,0.3919,OK
20260106_162929,strong,2_kkt.mtx,64,10,3.730287e-02,3.631977e-02,5.009570e-03,0.4359,OK
20260106_162929,strong,2_kkt.mtx,128,1,3.739494e-02,3.693431e-02,3.330107e-03,0.4348,OK
20260106_162929,strong,2_kkt.mtx,128,2,3.615088e-02,3.557349e-02,3.536663e-03,0.4498,OK
20260106_162929,strong,2_kkt.mtx,128,3,3.976554e-02,3.909468e-02,3.478374e-03,0.4089,OK
20260106_162929,strong,2_kkt.mtx,128,4,3.630200e-02,3.577562e-02,3.651934e-03,0.4479,OK
20260106_162929,strong,2_kkt.mtx,128,5,3.574459e-02,3.509793e-02,3.272452e-03,0.4549,OK
20260106_162929,strong,2_kkt.mtx,128,6,3.600026e-02,3.535856e-02,3.588028e-03,0.4517,OK
20260106_162929,strong,2_kkt.mtx,128,7,3.646406e-02,3.596182e-02,3.601785e-03,0.4459,OK
20260106_162929,strong,2_kkt.mtx,128,8,4.418641e-02,4.357966e-02,3.857594e-03,0.3680,OK
